原文,翻譯
floor division,向下取整除法
flush,對齊，齊平
flush,排清，清除
folder,資料夾 (win)；檔案夾 (mac)
font,字型 (win)；字體 (mac)
form,表單
format  noun ,格式
format  verb ,格式化
forward,轉發，轉送，轉寄
fragment,片段
frame,影格，畫面；框架
frame rate fps  frames per second ,影格率，畫面更新率
framework,框架
free threading,自由執行緒
free variable,自由變數
frozen,（軟體或影片）畫面定格；凍結，鎖定
full screen,全螢幕
fullscreen,全螢幕
function,函式，函數
function,函式
function  vs  feature ,（一般的）功能
function annotation,函式註釋
functionality,功能
game,遊戲
garbage collection,垃圾回收
gateway,閘道器
general,一般的
generate,產生
generator,產生器
generator expression,產生器運算式
generator iterator,產生器疊代器
generic,通用的
generic function,泛型函式
generic type,泛型型別
generics,泛型
global,全域的；總體的，整體的，通用的
global,全域
global interpreter lock,全域直譯器鎖
graph,圖
group box,群組方塊
handle,控制代碼
handler,處理常式，處理程式，處理器
hardware,硬體
hash,雜湊
hash based pyc,雜湊架構的 pyc
hashable,可雜湊的
header file,標頭檔
heap,堆積
help,使用說明；說明；幫助
helper,幫助函式、輔助函式
hierarchy,階層
high definition,高解析度，高畫質
home folder,主資料夾 (win)；個人專屬檔案夾 (mac)
home page,首頁，主頁
host file,主機檔案，host 檔案
icon,圖示 (win) 圖像 (mac)
ide,整合式開發環境
identifier,識別字
identity,識別性
idle,閒置
image,影像；圖像，圖片；映像檔
immortal,不滅
immutable,不可變物件
immutable,不可變的；無法更改的
implement,實作
implementation,實作（品）
implicit,隱含的 (win)；隱式 (mac)
import,import（不翻譯）、引入
import,匯入
import path,引入路徑
importer,引入器
importing,引入
indent,縮排
index,索引
info,資訊
information,資訊
inheritance,繼承
initialization,初始化
inline,行內；內嵌
instance,實例
instance,實體；實例
int,int（整數）
integrate,整合
integrated,整合式，整合的
integrity,完整性
interact,互動
interaction,互動
interactive,互動的
interface,介面
internal storage,內部儲存
internationalization  i18n ,國際化
internet,網際網路
interpreted,直譯的
interpreter,直譯器
interpreter shutdown,直譯器關閉
invoke,呼叫 (mac) 執行，叫用 (win)
iterable,可疊代物件
iterate,疊代； 反覆（運算）
iterate,疊代
iteration,疊代
iterator,疊代器
kernel,核心
key,金鑰，密鑰
key function,鍵函式
keybind,快速鍵
keyword argument,關鍵字引數
lag,延遲
layout,布局，配置
lazy loading,惰性載入；消極式載入；延遲載入；懶載入
level,階 / 層級 / 層
lexer,詞法分析器
lexical analyzer,詞法分析器
lexical analysis,詞法分析
library,程式庫，函式庫
library,函式庫
link,連結
link time,連結期
linked list,連結串列
linker,連結器
list,串列
list,list（串列）
list,清單；列表
list comprehension,串列綜合運算
listener,監聽器
literal constant,字面常數，字面常值
literals,字面值，定數，常值
load,載入
load time,載入期
loader,載入器
local,區域
local,區域的，本地的；本機
local variable,區域變數
locale encoding,區域編碼
localization  l10n ,在地化
lock,鎖定
log,記錄
log in,登入
login,登入
log out,登出
logout,登出
loop,迴圈
loop,迴圈；重複；循環
macro,巨集
magic method,魔術方法
map,對應；映射
mapping,對應；映射
mapping,對映
match,配對；符合；配合；比對；匹配
memory,記憶體
menu,選單；功能表
message,訊息
meta path finder,元路徑尋檢器
metaclass,元類別
metadata,中繼資料 (win) 後設資料 (mac) 詮釋資料
method,方法
method,method（方法）
method resolution order,方法解析順序
middleware,中介層，中介軟體
mobile,行動
mock,mock
moderate,審核
moderation,審核
modifier,修飾子，修飾詞
module,module（模組）
module,模組
module spec,模組規格
monomorphism,單型
motherboard,主機板
mouse,滑鼠
mouse pointer,滑鼠指標
multitasking,多工（處理）
mutable,可變物件
mutable,可變的
mutex,互斥
named tuple,附名元組
namespace,命名空間
namespace package,命名空間套件
native,原生
navigate,導覽
navigation,導覽
navigator,導覽器
nested,巢狀的
nested scope,巢狀作用域
network,網路
new,新增
new style class,新式類別
notarization,公證
object,物件
object code,目的碼
object file,目的檔，目的碼檔
object oriented,物件導向
online,線上
operand,運算元
operating system,作業系統
operator,運算子
optimize,最佳化
optimization,最佳化
optimized scope,最佳化作用域
option,選項
overflow,溢位（上限溢位）
overlay,嵌入介面
overload,多載，覆載，重載
override,覆寫，重寫
pack,封裝，壓縮
package,套件
package  noun ,套件，軟體包
package  verb ,封裝
pane,窗格 (win) 面板 (mac)
parallelism,平行性，平行
parameter,參數
parent,父- / 上代
parse,剖析
parse,分析；剖析；解析
parser,剖析器
parser,語法剖析器
partition,分割；（硬碟）分割區
paste,貼上
patch,更新檔 (win) 修補程式 (mac)
patch,patch
path based finder,基於路徑的尋檢器
path entry,路徑項目
path entry finder,路徑項目尋檢器
path entry hook,路徑項目鉤
path like object,類路徑物件
pattern,模式；樣式
performance,效能
persistence,持續性
photo,照片
physical layer,實體層
picklist,挑選清單 (win)；選取列表 (mac)
placeholder,佔位符號， 預留位置 (win) 暫存區 (mac)
pluggability,可拔插性
plugin,外掛程式 (win) 外掛模組 (mac)
point   click  noun ,點按
pointer,指標
policy,政策 / 原則
polymorphism,多型
port,（連接）埠
portion,部分
positional argument,位置引數
power bank,行動電源
presentation layer,表現層
preset,預設
print,列印
printer,列印機，印表機
procedure,程序
process,行程；程序
profile,設定檔 (win) 描述檔 (mac)
profile,評測
profile  or personal profile ,個人檔案
profiler,（效能）分析工具
program,程式
project,專案
prompt,提示字元
protocol,協定
provision,佈建
provisioning,佈建
provisional api,暫行 API
provisional package,暫行套件
proxy  or proxy server ,代理伺服器
pseudo code,虛擬碼
pull down list,下拉式清單
pythonic,Python 風格的
qualified name,限定名稱
quality,品質
queue,佇列
quit unexpectedly,(App)閃退
radian,徑度
radio button,選項按鈕 (win) 圓形按鈕 (mac)
ram  random access memory ,隨機存取記憶體
read,讀取
read only,唯讀
recovery,復原，還原
recursion,遞迴
redirect,重新導向；轉址
redirection,重新導向；轉址
reference,參照，參考
reference count,參照計數
register,暫存器；註冊
regular expression,正規表示式；正規表示法；正規表達式；規則運算式
regular package,正規套件
release,（發行、發布）版本
remote,遠端
render,算繪；渲染
resolution,解析度
response,回應
response body,回應本文
response header,回應標頭
restore,還原 (win)，回復 (mac)
return,回傳
return,回傳，傳回；恢復
revoke,撤銷
revocation,撤銷
rollback,復原
routine,常式
run,執行
runtime environment  rte ,執行環境；執行系統
runtime system,執行環境；執行系統
runtime,執行期；執行環境
run time,執行期；執行環境
sampling,取樣
save,儲存
scalar,純量
schedule,排程
scheduler,排程器，排程程式
scope,（作用、有效）範圍，域
script,指令碼 (win) 工序指令 (mac)
scroll bar,捲軸
sdk  software development kit ,軟體開發工具包 (win) 軟體開發套件 (mac)
search engine,搜尋引擎
security,安全性
segment,區段
semaphore,號誌
sequence,序列
server,伺服器
server side,伺服器端
session,工作階段，作業階段
session,（電腦網路）對談/話，會談/話；連線階段
session layer,會議層
set,set（集合）
set comprehension,集合綜合運算
set up,設定
settings,設定
shortcut,捷徑
shortcut key,快速鍵
sign in,登入
sign out,登出
signature,簽名 (signature)
signature,簽章；簽名
silicon,矽
simulation,模擬
single dispatch,單一調度
slice,切片
slider,滑桿
smart,智慧
smartphone,智慧型手機
sms  short message service ,簡訊
snip,擷圖
soft deprecated,軟性棄用
source code,原始碼
special method,特殊方法
stack,堆疊
star rating,星級評等 (win) 星號評等 (mac)
statement,敘述，陳述（句）
statement,陳述式
static type checker,靜態型別檢查器
status bar,狀態列
stepper,步進器
stream,串流；資料流
string,字串
string interpolation,字串插值
strong reference,強參照
stuttering,（軟體或影片的畫面）斷斷續續
subclass,子類別
subroutine,副程式
superclass,父類別
support,支援
suspend,暫停（權限）
synchronize,同步
synchronous,同步的
syntactic analysis,語法分析；語法剖析
tab,索引標籤，分頁，標籤（頁）
tag,標記
tap  vs  click ,輕觸 (win)；點一下 (mac)
task,工作
template,範本
text,文字
text box,文字框
text encoding,文字編碼
text file,文字檔案
thread,執行緒
token,標記 (win) 代號 (mac)
token,權杖；代幣
top up,加值，儲值
traverse,走訪
tray  or system tray ,系統匣
tree,樹
triple quoted string,三引號內字串
tuple,元組
tutorial,教學
type,型別
type,型別，型態
type alias,型別別名
type hint,型別提示
universal,通用的
universal newlines,通用換行字元
variable,變數
variable annotation,變數註釋
video,影片；視訊
view,檢視；顯示；視圖
virtual environment,虛擬環境
virtual machine,虛擬機器
voice,語音
volume,磁碟區 (win)；卷宗 (mac)
widget,視窗元件；小工具
wildcard,萬用字元
window,視窗
workspaces,工作區；工作空間
write,寫入
zen of python,Python 之禪
