原文,翻譯
mouse,滑鼠
mouse pointer,滑鼠指標
multiprocessing,多行程
multitasking,多工（處理）
mutable,可變
mutex,互斥
named tuple,具名元組
nameerror,NameError
namespace,命名空間
namespace package,命名空間套件
native,原生
navigate,導覽
navigation,導覽
navigation bar,導覽列  導航條
navigator,導覽器
nested,巢狀的
nested scope,巢狀作用域
network,網路
network adapter,網路介面卡
new,新增
new style class,新式類別
nonlocal,nonlocal
not,not
notarization,公證
notimplementederror,NotImplementedError
object,物件
object code,目的碼
object file,目的檔，目的碼檔
object oriented,物件導向
object oriented programming,物件導向程式設計
ones complement,一補數
online,線上
operand,運算元
operating system,作業系統
operator,運算子
optimization,最佳化
optimize,最佳化
optimized scope,最佳化作用域
option,選項
optional,選用  選填
or,or
overflow,溢位（上限溢位）
overflowerror,OverflowError
overlay,嵌入介面
overload,多載，覆載，重載
override,覆寫，重寫
pack,封裝，壓縮
package,套件
package noun,套件，軟體包
package verb,封裝
pane,窗格 (win) 面板 (mac)
parallelism,平行性，平行
parameter,參數
parent,父- / 上代
parse,剖析
parser,剖析器
partition,分割；（硬碟）分割區
partition disk,分割區
pass,pass
paste,貼上
patch,patch
path based finder,基於路徑的尋檢器
path entry,路徑項目
path entry finder,路徑項目尋檢器
path entry hook,路徑項目鉤
path like object,類路徑物件
pattern,模式；樣式
performance,效能
permissionerror,PermissionError
persistence,持續性
photo,照片
physical layer,實體層
picklist,挑選清單 (win)；選取列表 (mac)
placeholder,佔位符號， 預留位置 (win) 暫存區 (mac)
pluggability,可拔插性
plugin,外掛程式 (win) 外掛模組 (mac)
point click noun,點按
pointer,指標
policy,政策 / 原則
polymorphism,多型
port,（連接）埠
portion,部分
positional argument,位置引數
postfix,尾碼
power adapter,電源供應器  充電器
power bank,行動電源
powered by,威力本源  由…提供
prefix,前置（詞、字、碼）  前綴  字首
presentation layer,表現層
preset,預設
print,列印
printer,列印機，印表機
procedure,程序
process,行程
profile,設定檔 (win) 描述檔 (mac)
profile or personal profile,個人檔案
profiler,（效能）分析工具
profiling,效能分析
program,程式
project,專案
prompt,提示字元
protocol,協定
provision,佈建
provisional api,暫行 API
provisional package,暫行套件
provisioning,佈建
proxy or proxy server,代理伺服器
pseudo code,虛擬碼
pull down list,下拉式清單
python 3000,Python 3000
pythonic,Python 風格
qualified name,限定名稱
quality,品質
queue,佇列
quick sort,快速排序
quit unexpectedly,(App)閃退
radian,徑度
radio button,選項按鈕 (win) 圓形按鈕 (mac)
raise,raise
ram random access memory,隨機存取記憶體
read,讀取
read only,唯讀
real time,即時
recovery,復原，還原
recursion,遞迴
recursion recursive,遞迴
recursionerror,RecursionError
redirect,重新導向；轉址
redirection,重新導向；轉址
reference,參照，參考
reference count,參照計數
refresh,重新整理
register,暫存器；註冊
register n,暫存器
register v,註冊
registry,登錄檔  註冊表
regular expression,正規表示式
regular package,正規套件
release,（發行、發布）版本
remote,遠端
render,算繪；渲染
resolution,解析度
resolve,解析
response,回應
response body,回應本文
response header,回應標頭
restore,還原 (win)，回復 (mac)
return,回傳
return value,回傳值
revocation,撤銷
revoke,撤銷
rollback,復原
routine,常式
row,列
run,執行
run time,執行期；執行環境
runtime,runtime
runtime environment rte,執行環境；執行系統
runtime system,執行環境；執行系統
runtimeerror,RuntimeError
sampling,取樣
save,儲存
scalar,純量
schedule,排程
scheduler,排程器，排程程式
scope,（作用、有效）範圍，域
screen,螢幕
script,指令碼 (win) 工序指令 (mac)
scroll bar,捲軸
sdk software development kit,軟體開發工具包 (win) 軟體開發套件 (mac)
search,搜尋
search engine,搜尋引擎
security,安全性
segment,區段
semaphore,號誌
sensor,感應器  感測器
sequence,序列
serial port,序列埠
server,伺服器
server side,伺服器端
session,工作階段，作業階段
session layer,會議層
set,集合
set comprehension,集合綜合運算
set up,設定
settings,設定
shortcut,捷徑
shortcut key,快速鍵
sign in,登入
sign out,登出
sign up,註冊
signal,訊號
signature,簽名
silicon,矽
simulation,模擬
single dispatch,單一調度
slice,切片
slider,滑桿
smart,智慧
smartphone,智慧型手機
sms short message service,簡訊
snip,擷圖
socket,socket
soft deprecated,軟性棄用
software,軟體
source code,原始碼
special method,特殊方法
stack,堆疊
star rating,星級評等 (win) 星號評等 (mac)
statement,陳述式
static type checker,靜態型別檢查器
status bar,狀態列
stdlib,標準函式庫
stepper,步進器
stopiteration,StopIteration
str,字串
stream,串流；資料流
string,字串
string interpolation,字串插值
strong reference,強參照
structure,結構  結構體
stuttering,（軟體或影片的畫面）斷斷續續
subclass,子類別
subnet mask,子網路遮罩
subroutine,副程式
superclass,父類別
support,支援
suspend,暫停（權限）
synchronize,同步
synchronous,同步的
syntactic analysis,語法分析；語法剖析
syntaxerror,SyntaxError
system crash,系統當機（正規）  死當（口語）
system extension,系統延伸功能
systemexit,SystemExit
tab,索引標籤，分頁，標籤（頁）
taberror,TabError
tag,標記
tap vs click,輕觸 (win)；點一下 (mac)
task,任務
task bar,工作列
task manager,工作管理員
template,範本
terminal,終端機
test case,測試案例
test suite,測試套件
text,文字
text box,文字框
text encoding,文字編碼
text file,文字檔案
thread,執行緒
threading,執行緒
threshold,門檻值
timeouterror,TimeoutError
token,token
tokenizer,tokenizer
top up,加值，儲值
touch screen,觸控螢幕
traverse,走訪
tray or system tray,系統匣
tree,樹
triple quoted string,三重引號字串
true,True
try,try
tuple,元組
tutorial,教學
two s complement,二補數
type,型別
type alias,型別別名
type hint,型別提示
typeerror,TypeError
unboundlocalerror,UnboundLocalError
unicodedecodeerror,UnicodeDecodeError
unicodeencodeerror,UnicodeEncodeError
unicodeerror,UnicodeError
unicodetranslateerror,UnicodeTranslateError
union,聯集（數學）
unittest,單元測試
universal,通用的
universal newlines,通用換行符號
url,URL
valueerror,ValueError
variable,變數
variable annotation,變數註釋
video,影片；視訊
view,檢視；顯示；視圖
virtual environment,虛擬環境
virtual machine,虛擬機器
visit,瀏覽
voice,語音
volume,磁碟區 (win)；卷宗 (mac)
volume disk,磁碟區  卷宗
wallpaper,桌布
wan,WAN  廣域網路
while,while
widget,視窗元件；小工具
wildcard,萬用字元
wildcard character,萬用字元
window,視窗
with,with
word,字組
workspaces,工作區；工作空間
write,寫入
xml,XML
yield,yield
zen of python,Python 之禪
zerodivisionerror,ZeroDivisionError
